TITLE,TYPE,RELEASE YEAR,COUNTRY PRODUCED,CAST,RATING,DURATION,GENRE,DESCRIPTION
American Horror Story,TV Show,2018,United States,"Evan Peters, Sarah Paulson, Jessica Lange, Denis O'Hare, Kathy Bates, Angela Bassett, Lily Rabe, Frances Conroy, Cheyenne Jackson, Emma Roberts, Taissa Farmiga, Wes Bentley, Finn Wittrock, Chloë Sevigny, Zachary Quinto, Jamie Brewer, Naomi Grossman, Dylan McDermott, Gabourey Sidibe, Lady Gaga, Mare Winningham, Joseph Fiennes, Michael Chiklis, Matt Bomer, Lizzie Brocheré, Erika Ervin, Mat Fraser, Rose Siggins, Connie Britton, James Cromwell, Adina Porter, Jyoti Amge, Billie Lourde, Alison Pill, Billy Eichner, Leslie Grossman, Colton Haynes, Cuba Gooding Jr., André Holland, Danny Huston",TV-MA,8 Seasons,"TV Horror, TV Mysteries, TV Thrillers","This twisted Emmy-winning drama plays upon the power of supernatural fears and everyday horrors, exploring humankind's unsettling capacity for evil."
Billy Graham: An Extraordinary Journey,Movie,2018,United States,"Billy Graham, Jeff Hoyt, Tom Brokaw, Greta Van Susteren, Diane Sawyer, Larry King, George Bush Sr., George W. Bush, Bill Clinton, Franklin Graham",TV-PG,66 min,"Documentaries, Faith & Spirituality",This documentary recounts the life story of evangelist preacher Billy Graham featuring interviews with family members and former presidents.
Party Monster: Scratching the Surface,Movie,2018,United States,"Ellie Kemper, Jane Krakowski, Tituss Burgess, Carol Kane, Jon Hamm, Bobby Moynihan, Lauren Adams, Sara Chase, Sol Miranda, Derek Klena, Aidy Bryant",TV-14,33 min,Comedies,"In the probing documentary ""Party Monster,"" DJ Fingablast investigates what became of his childhood hero, DJ Slizzard."
Unsolved,TV Show,2018,United States,"Josh Duhamel, Jimmi Simpson, Bokeem Woodbine",TV-MA,1 Season,"Crime TV Shows, TV Dramas",Ride along for a dramatized version of the real-life investigations into the murders of rap icons Tupac Shakur and Biggie Smalls.
Marlon Wayans: Woke-ish,Movie,2018,United States,Marlon Wayans,TV-MA,67 min,Stand-Up Comedy,"Rollicking, outrageous and audacious, Marlon Wayans gets raw on racism, age-appropriate rap rhymes, gay rights, raising kids and even the Kardashians."
Magic for Humans,TV Show,2018,United States,Justin Willman,TV-14,1 Season,"Reality TV, TV Comedies","From baffling people on the street to orchestrating elaborate tricks, Justin Willman blends good-natured magic with grown-up laughs."
Quantico,TV Show,2018,United States,"Priyanka Chopra, Josh Hopkins, Jake McLaughlin, Aunjanue Ellis, Yasmine Al Massri, Johanna Braddy, Tate Ellington, Graham Rogers, Anabelle Acosta, Russell Tovey, Blair Underwood, Pearl Thusi",TV-14,3 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries","When evidence in a deadly terrorist attack implicates FBI trainee Alex Parrish, she must discover which one of her classmates framed her."
Seven Seconds,TV Show,2018,United States,"Clare-Hope Ashitey, Regina King, Beau Knapp, Michael Mosley, David Lyons, Russell Hornsby, Raúl Castillo, Patrick Murney",TV-MA,1 Season,"Crime TV Shows, TV Dramas",The death of a 15-year-old African American boy in Jersey City sets off a police cover-up and a search for the truth.
Ugly Delicious,TV Show,2018,United States,"David Chang, Peter Meehan",TV-MA,1 Season,Docuseries,"All the flavor. None of the BS. Star chef David Chang leads friends on a mouthwatering, cross-cultural hunt for the world's most satisfying grub."
Peter Rabbit,Movie,2018,"United States, Australia","James Corden, Domhnall Gleeson, Rose Byrne, Margot Robbie, Daisy Ridley, Elizabeth Debicki, Vauxhall Jermaine, Marianne Jean-Baptiste, Sia, Colin Moody",PG,95 min,"Children & Family Movies, Comedies","In this mix of live action and CGI, rascally Peter Rabbit faces a tough new foe in his ongoing battle for the veggies in Mr. McGregor's garden."
We the Animals,Movie,2018,United States,"Evan Rosado, Josiah Gabriel, Isaiah Kristian, Raúl Castillo, Sheila Vand, Giovanni Pacciarelli, Terry Holland, Moe Isaac, Mickey Anthony, Tom Malley",R,93 min,"Dramas, Independent Movies","A trio of brothers cope with their parents' volatile relationship by running wild and unchecked, and one of them experiences a visceral awakening."
Adventures in Public School,Movie,2018,"Canada, United States","Daniel Doheny, Judy Greer, Siobhan Williams, Russell Peters, Grace Park, Andrew McNee, Alex Barima, Andrew Herr, Eva Day, Josh Epstein",NR,86 min,Comedies,"After years of home-schooling, an awkward teen decides he wants a public high school experience, but his overbearing mother struggles to let go."
Chris Rock: Tamborine,Movie,2018,United States,Chris Rock,TV-MA,65 min,Stand-Up Comedy,"Chris Rock takes the stage in Brooklyn for a comedy special filled with searing observations on fatherhood, infidelity and American politics."
NOVA: First Face of America,Movie,2018,United States,Jay O. Sanders,TV-PG,53 min,Documentaries,"During risky expeditions in an underwater cave, scientists unearth a 13,000-year-old skeleton to gain insight into the earliest known humans in America."
Never Heard,Movie,2018,United States,"Romeo Miller, David Banner, Robin Givens, Karrueche Tran, Dijon Talton, Dorien Wilson, Karen Abercrombie, Kandi Burruss, Brian White, Jackie Long",TV-14,89 min,"Dramas, Faith & Spirituality","As his father sits behind bars, a young man is lured into Los Angeles' merciless drug world and forced to choose between God and gang life."
Deadly Scholars,Movie,2018,United States,"Kennedy Lea Slocum, Corey Fogelmanis, Alexa Mansour, Peyton Clark, Sheryl Lee, Sherri Saum, Eric Stanton Betts, Paris Berelc, Pedro Correa, Alissa Latow",TV-14,86 min,"Dramas, Thrillers","After a series of strange deaths, a high school reporter tries to pin down the killer who's targeting students eligible for a prestigious scholarship."
All Light Will End,Movie,2018,United States,"Ashley Pereira, Alexandra Harris, Ted Welch, Sam Jones III, Sarah Butler, Andy Buckley, Graham Outerbridge, Michael James Thomas, John Schuck, Aaron Munoz",TV-MA,84 min,"Horror Movies, Thrillers","A horror novelist with a traumatic past returns to her childhood hometown, where she revisits her night terrors and loses sight of reality."
Shameless (U.S.),TV Show,2018,United States,"William H. Macy, Emmy Rossum, Justin Chatwin, Cameron Monaghan, Jeremy Allen White, Shanola Hampton, Steve Howey, Ethan Cutkosky, Emma Kenney, Laura Wiggins, Joan Cusack",TV-MA,9 Seasons,"TV Comedies, TV Dramas",This dramedy based on a British series centers on siblings in a dysfunctional Chicago family who struggle while coping with their alcoholic father.
One Strange Rock,TV Show,2018,United States,Will Smith,TV-PG,1 Season,"Docuseries, Science & Nature TV","Hosted by Will Smith, this series follows eight astronauts who share their unique perspectives on Earth, the fragile and beautiful planet we call home."
Altered Carbon,TV Show,2018,United States,"Joel Kinnaman, James Purefoy, Martha Higareda, Renée Elise Goldsberry, Dichen Lachman, Will Yun Lee, Kristin Lehman, Chris Conner, Ato Essandoh, Tamara Taylor, Byron Mann",TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure, TV Dramas","After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder."
Coach Snoop,TV Show,2018,United States,Snoop Dogg,TV-MA,1 Season,"Docuseries, Reality TV","Fueled by his own rough upbringing, Snoop Dogg creates a youth football league to keep at-risk kids off the streets and focused on their goals."
Irreplaceable You,Movie,2018,United States,"Gugu Mbatha-Raw, Michiel Huisman, Christopher Walken, Steve Coogan, Kate McKinnon, Jacki Weaver, Timothy Simons, Brian Tyree Henry, Alanna Masterson, Gayle Rankin, Tamara Tunie",TV-MA,96 min,"Dramas, Romantic Movies","A stunning cancer diagnosis spurs Abbie to seek a future girlfriend for fiancé and childhood sweetheart Sam, who's clueless when it comes to dating."
Everything Sucks!,TV Show,2018,United States,"Jahi Di'Allo Winston, Peyton Kennedy, Patch Darragh, Claudine Mboligikpelani Nako, Rio Mangini, Quinn Liebling, Sydney Sweeney, Elijah Stevenson, Zachary Ray Sherman, Abi Brittle",TV-14,1 Season,"TV Comedies, TV Dramas, Teen TV Shows","It's 1996 in a town called Boring, where high school misfits in the AV and drama clubs brave the ups and downs of teenage life in the VHS era."
The Walking Dead,TV Show,2018,United States,"Andrew Lincoln, Steven Yeun, Norman Reedus, Chandler Riggs, Melissa McBride, Lauren Cohan, Danai Gurira, Alanna Masterson, Sonequa Martin-Green, Josh McDermitt, Christian Serratos, Seth Gilliam, Ross Marquand, Lennie James, Emily Kinney, Jon Bernthal",TV-MA,9 Seasons,"Classic & Cult TV, TV Action & Adventure, TV Dramas","In the wake of a zombie apocalypse, survivors hold on to the hope of humanity by banding together to wage a fight for their own survival."
Skylanders Academy,TV Show,2018,"South Korea, United States","Justin Long, Ashley Tisdale, Jonathan Banks, Chris Diamantopoulos, Bobcat Goldthwait, Richard Steven Horvitz, Norm MacDonald, Daniel Middleton, Catherine O'Hara, Parker Posey, Jonny Rees, Jason Ritter, Susan Sarandon, Harland Williams, Daniel Wu, Dee Bradley Baker, Chris Cox, Jim Cummings, Felicia Day, John DiMaggio, Grey Griffin",TV-Y7,3 Seasons,"Kids' TV, TV Comedies",Travel the vast Skylander universe in this animated series as a ragtag group of academy graduates build trust and heart in their fight against evil.
The Cloverfield Paradox,Movie,2018,United States,"Gugu Mbatha-Raw, David Oyelowo, Daniel Brühl, John Ortiz, Chris O'Dowd, Aksel Hennie, Zhang Ziyi, Elizabeth Debicki, Roger Davies, Clover Nee",TV-MA,102 min,"Action & Adventure, Sci-Fi & Fantasy","Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality."
Once Upon a Time,TV Show,2018,United States,"Lana Parrilla, Robert Carlyle, Jared Gilmore, Jennifer Morrison, Ginnifer Goodwin, Josh Dallas, Colin O'Donoghue, Emilie de Ravin",TV-PG,7 Seasons,"TV Dramas, TV Sci-Fi & Fantasy","In this fantasy series, a young woman is drawn to a small Maine town and discovers that it's filled with elements of the fairy tale world."
Stretch Armstrong & the Flex Fighters,TV Show,2018,United States,"Scott Menville, Steven Yeun, Ogie Banks, Wil Wheaton, Keith David, Miguel Ferrer, David Kaye, Kate Mulgrew, Nazneen Contractor, Felicia Day",TV-Y7-FV,2 Seasons,Kids' TV,Jake Armstrong and his best friends are unexpectedly transformed into superheroes who learn to reach far beyond the limits of any ordinary teenager.
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,Movie,2018,United States,"Steve Martin, Martin Short",TV-14,74 min,Stand-Up Comedy,"Longtime pals and showbiz icons Steve Martin and Martin Short share countless quips, catchy tunes and hilarious stories about their lives in comedy."
The After Party,Movie,2018,United States,"Kyle Harvey, Harrison Holzer, Teyana Taylor, Shelley Hennig, Wiz Khalifa, Blair Underwood, Jordan Rock, Amin Joseph, Andy Buckley, Jamie Choi",TV-MA,90 min,"Comedies, Music & Musicals",An aspiring rapper and his best friend/manager have one night to bounce back from embarrassment and make their dreams of hip-hop stardom come true.
The Witch Files,Movie,2018,United States,"Holly Taylor, Alice Ziolkoski, Britt Flatmo, Paget Brewster, Tara Robinson, Adrienne Rose White, Greg Finley, Valerie Mahaffey, Jared Boghosian, William Bornkessel",TV-14,88 min,"Horror Movies, Thrillers","A disparate group of teenage girls discovers how to obtain supernatural abilities, but abusing their newfound power has disturbing consequences."
Ibiza,Movie,2018,United States,"Gillian Jacobs, Vanessa Bayer, Phoebe Robinson, Richard Madden, Michaela Watkins, Félix Gómez",TV-MA,94 min,"Comedies, Romantic Movies","When Harper is sent to Spain for an important work meeting, her hard-partying friends tag along and convince her to pursue a fling with a famous DJ."
Malicious,Movie,2018,United States,"Bojana Novakovic, Josh Stewart, Delroy Lindo, Melissa Bolona, Yvette Yates, Luke Edwards, Jaqueline Fleming, Ben VanderMey, Presley Richardson, Joy Kate Lawson",TV-MA,91 min,Horror Movies,"After receiving a strange present, a professor and his pregnant wife are plagued by tragedy and a paranormal presence that's determined to kill."
God Bless the Broken Road,Movie,2018,United States,"Patrika Darbo, Kim Delaney, Jordin Sparks, Makenzie Moss, Liam Matthews, Andrew W. Walker, Lindsay Pulsipher, Gary Grubbs, Robin Givens, Arthur Cartwright",PG,111 min,"Children & Family Movies, Dramas, Faith & Spirituality","After a young mother is widowed by war, her faith is tested as she struggles to stay afloat financially and raise her daughter."
The Nutcracker and the Four Realms,Movie,2018,United States,"Mackenzie Foy, Keira Knightley, Helen Mirren, Morgan Freeman, Matthew Macfadyen, Eugenio Derbez, Miranda Hart, Jack Whitehall, Ellie Bamber, Richard E. Grant, Omid Djalili, Tom Sweet, Misty Copeland, Sergei Polunin, Meera Syal",PG,99 min,Children & Family Movies,"When her late mother gifts her a key, Clara embarks on a dreamlike journey full of fantasy and conflict in this retelling of the holiday classic."
Seeing Allred,Movie,2018,United States,Gloria Allred,TV-14,96 min,Documentaries,"Explore the public and private sides of feminist firebrand attorney Gloria Allred, who's battled some of the biggest names in politics and business."
When We First Met,Movie,2018,United States,"Adam DeVine, Alexandra Daddario, Shelley Hennig, Robbie Amell, Andrew Bachelor",TV-14,97 min,"Comedies, Romantic Movies","Using a magical photo booth that sends him back in time, Noah relives the night he met Avery over and over, trying to persuade her to fall for him."
Cities of Last Things,Movie,2018,"Taiwan, China, France, United States","Jack Kao, Lee Hong-chi, Louise Grinberg, Huang Lu, Ding Ning",TV-MA,106 min,"Dramas, Independent Movies, International Movies","In a dystopian tale unfolding in reverse chronology, a man with a complicated past takes revenge on the individuals who wronged him decades ago."
Incredibles 2 (Spanish Version),Movie,2018,United States,"Víctor Trujillo, Consuelo Duval, Darío T. Pie, Leyla Rangel, Oliver Díaz Barba, Dulce Guerrero, Eli Fucile, Martin Hernandez",PG,118 min,"Children & Family Movies, Comedies","When Elastigirl gets recruited for a high-profile crime-fighting mission, Mr. Incredible takes on his toughest assignment ever: full-time parenting."
Anon,Movie,2018,"Germany, United States, Canada","Clive Owen, Amanda Seyfried, Colm Feore, Sonya Walger, Mark O'Brien, Joe Pingue, Iddo Goldberg, Sebastian Pigott, Rachel Roberts, Ethan Tavares",TV-MA,100 min,"Dramas, Sci-Fi & Fantasy, Thrillers","In a future where technology has rendered privacy obsolete, a detective investigates a serial assassin who has been deleted from all visual records."
To All the Boys I’ve Loved Before,Movie,2018,United States,"Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart, Andrew Bachelor, Trezzo Mahoro, Madaleine Arthur, Israel Broussard, Emilija Baranac, John Corbett",TV-14,100 min,"Comedies, International Movies, Romantic Movies","When her secret love letters somehow get mailed to each of her five crushes, Lara Jean finds her quiet high school existence turned upside down."
A Little Help with Carol Burnett,TV Show,2018,United States,"Carol Burnett, Russell Peters, Mark Cuban, Taraji P. Henson, Brittany Snow, Wanda Sykes, Derek Hough, Billy Eichner, Lisa Kudrow, Candace Cameron Bure, DJ Khaled, Tony Hale, Julie Bowen",TV-G,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies","Comedy icon Carol Burnett returns to TV with a panel of clever kids, who help adults and celebrity guests solve their problems with brutal honesty."
